timestamp,category_id,topic_id,topic_title,message_number,message_author,btc_address
1509302760,241,2332982,stockus,1,FinGamer,184a116f72a381e8bf70368cb3d90aa5
1509110642,241,2307265,بخصوص  الفريبتكوين [freebitcoin],19,sayedtaha,1G2zMHiPApGaMrq3ZiCKpve7PefpySJVVA
1507399573,241,2041983,بيع و شراء البيتكوين في الجزائر,29,setifien19,1AW6exiopoUTSW73yRCyvpjz2drDMnpirG
1507576456,241,2041983,بيع و شراء البيتكوين في الجزائر,30,DZeSolutions,1AW6exiopoUTSW73yRCyvpjz2drDMnpirG
1507580287,241,2041983,بيع و شراء البيتكوين في الجزائر,32,setifien19,1AW6exiopoUTSW73yRCyvpjz2drDMnpirG
1507997646,241,2270130,عملـــة ديسينت - نظام مشاركــه لامركزي وام,1,Mozdalifa17,33WDB3nsVHH5qafCAriPb8Jmb1e3ptsY4h
1507992084,241,2269829,مسابقة لربح 50$ بتكوين,2,mr.mohamed,1MQcNnsybytkJoUAVGXYU6N9x81MWABxSM
1507992713,241,2269829,مسابقة لربح 50$ بتكوين,3,dellaadz,1EgWb9h9ouyTFu1tbvZyNkuu3xVh1nUxy3
1507992844,241,2269829,مسابقة لربح 50$ بتكوين,4,DanTeMessy,1FMRVnppqcTikcVHLpTwabuph6t1KQwaSU
1507993008,241,2269829,مسابقة لربح 50$ بتكوين,5,moonytimer,1qLPe9sFK9vbE2g9CmCmscfGbAsSWEqpr
1507994600,241,2269829,مسابقة لربح 50$ بتكوين,6,khaleddd,1AEmiTwK3UDGDypcUB8wmiqGoRQfevuBrt
1507994988,241,2269829,مسابقة لربح 50$ بتكوين,7,haykelrafif,1DzKZqswg2FBCRZbmBMyHznU2fUJY2yTsE
1508002280,241,2269829,مسابقة لربح 50$ بتكوين,8,houari,1H3N43a91mbuqWFAPYh59g9gkS15DigpjN
1508006994,241,2269829,مسابقة لربح 50$ بتكوين,9,hamade,1GxfpP11UYfLfWKnvaz6DDznt1JDfcqh87
